doc_id	language	char_offset	token_index	adu_id	edu_id	boundary_class	source	status	confidence	model	run_id	sameunit_affected
micro_b001	de	0	0	a1	e1	document_start	structural_constraint	forced			secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	69	13	a2	e2	adu	SeCoRel	automatic	0.99962962	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	119	20	a2	e3	internal_edu	SeCoRel	automatic	0.99290961	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	182	29	a3	e4	adu	SeCoRel	automatic	0.99896932	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	247	40	a4	e5	adu	SeCoRel	automatic	0.99513215	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	287	47	a4	e6	internal_edu	SeCoRel	automatic	0.98877269	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	366	59	a5	e7	adu	SeCoRel	automatic	0.99863178	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b001	de	405	65	a5	e8	internal_edu	SeCoRel	automatic	0.96277404	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	0	0	a1	e1	document_start	structural_constraint	forced			secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	77	12	a1	e2	internal_edu	SeCoRel	automatic	0.96631014	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	131	20	a2	e3	adu	SeCoRel	automatic	0.99957663	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	162	27	a2	e4	internal_edu	SeCoRel	automatic	0.98026776	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	202	36	a2	e5	internal_edu	SeCoRel	automatic	0.99348289	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	284	48	a3	e6	adu	SeCoRel	automatic	0.99919170	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	395	64	a4	e7	adu	SeCoRel	automatic	0.99894017	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	469	76	a5	e8	adu	SeCoRel	automatic	0.99851316	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b002	de	519	85	a5	e9	internal_edu	SeCoRel	automatic	0.98992634	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	0	0	a1	e1	document_start	structural_constraint	forced			secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	84	11	a2	e2	adu	SeCoRel	automatic	0.99643207	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	180	25	a3	e3	adu	SeCoRel	automatic	0.99889249	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	238	35	a4	e4	adu	SeCoRel	automatic	0.99893075	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	338	49	a5	e5	adu	SeCoRel	automatic	0.99871349	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	388	60	a5	e6	internal_edu	SeCoRel	automatic	0.99458802	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b003	de	447	69	a5	e7	internal_edu	SeCoRel	automatic	0.82007885	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b004	de	0	0	a1	e1	document_start	structural_constraint	forced			secorel_disrpt_sentence_chunks_v1	false
micro_b004	de	108	16	a2	e2	adu	SeCoRel	automatic	0.99755448	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b004	de	226	34	a3	e3	adu	SeCoRel	automatic	0.99901700	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
micro_b004	de	328	47	a4	e4	adu	SeCoRel	automatic	0.99819905	SeCoRel	secorel_disrpt_sentence_chunks_v1	false
