doc_id	adu_id	adu_index	de_start	de_end	en_start	en_end	de_text	en_text
micro_b001	a1	1	0	68	0	81	Ja, seinen Müll immer ordentlich zu trennen ist nervig und mühselig.	Yes, it's annoying and cumbersome to separate your rubbish properly all the time.
micro_b001	a2	2	69	181	82	183	Drei verschiedene Müllbeutel müffeln in der Küche und müssen in drei unterschiedliche Tonnen einsortiert werden.	Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
micro_b001	a3	3	182	246	184	231	Aber immer noch wird in Deutschland viel zu viel Müll produziert	But still Germany produces way too much rubbish
micro_b001	a4	4	247	365	232	325	und zu viele Ressourcen gehen verloren, wenn zusammen verbrannt wird, was getrennt eigentlich verwertet werden könnte.	and too many resources are lost when what actually should be separated and recycled is burnt.
micro_b001	a5	5	366	441	326	402	Wir Berliner sollten die Chance nutzen und Vorreiter im Mülltrennen werden!	We Berliners should take the chance and become pioneers in waste separation!
micro_b002	a1	1	0	130	0	114	In Friedrichshain oder Neukölln kann man sich heutzutage nicht mehr bewegen, ohne permanent den Boden nach Hundehaufen abzusuchen.	One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
micro_b002	a2	2	131	283	115	252	"Und wenn man doch mal Pech hat und eine der vielen ""Tretminen"" trifft, muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen."	And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
micro_b002	a3	3	284	394	253	355	Höhere Geldstrafen sind da das richtige Mittel gegen nachlässige, faule oder einfach gedankenlose Hundehalter.	Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.
micro_b002	a4	4	395	468	356	443	Klar, die müssen erstmal von den wenigen Ordnungsbeamten erwischt werden,	Of course, first they'd actually need to be caught in the act by public order officers,
micro_b002	a5	5	469	558	444	522	aber wenn sie dann die Brieftasche zücken müssen, wird ihnen die Faulheit schon vergehen!	but once they have to dig into their pockets, their laziness will sure vanish!
micro_b003	a1	1	0	83	0	79	Die Krankenkassen sollten Behandlungen beim Natur- oder Heilpraktiker nicht zahlen,	Health insurance companies should not cover treatment in complementary medicine
micro_b003	a2	2	84	179	80	159	es sei denn der versprochene Effekt und dessen medizinischer Nutzen sind handfest nachgewiesen.	unless the promised effect and its medical benefit have been concretely proven.
micro_b003	a3	3	180	237	160	205	Genau dieser Nachweis fehlt jedoch in den meisten Fällen.	Yet this very proof is lacking in most cases.
micro_b003	a4	4	238	337	206	280	Zwar verweisen die Patienten oft auf eine Linderung ihrer Beschwerden nach derartigen Behandlungen.	Patients do often report relief of their complaints after such treatments.
