doc_id	adu_id	char_offset	document_predicted	adu_context_predicted	document_probability	adu_context_probability	left_context	right_context
micro_b001	a2	119	true	true	0.97029042	0.92958826	er ordentlich zu trennen ist nervig und mühselig. Drei verschiedene Müllbeutel müffeln in der Küche	und müssen in drei unterschiedliche Tonnen einsortiert werden. Aber immer noch wird in Deutschland v
micro_b001	a4	287	true	true	0.98697335	0.98597914	immer noch wird in Deutschland viel zu viel Müll produziert und zu viele Ressourcen gehen verloren,	wenn zusammen verbrannt wird, was getrennt eigentlich verwertet werden könnte. Wir Berliner sollten
micro_b001	a5	405	true	true	0.80905414	0.72517782	rannt wird, was getrennt eigentlich verwertet werden könnte. Wir Berliner sollten die Chance nutzen	und Vorreiter im Mülltrennen werden!
micro_b002	a1	77	true	true	0.97196239	0.92033988	In Friedrichshain oder Neukölln kann man sich heutzutage nicht mehr bewegen,	ohne permanent den Boden nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat und eine der vi
micro_b002	a2	162	true	true	0.98611569	0.97143078	mehr bewegen, ohne permanent den Boden nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat	"und eine der vielen ""Tretminen"" trifft, muss man sich die stinkenden Hinterlassenschaften mühselig v"
micro_b002	a2	202	true	true	0.99486333	0.99435931	"nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat und eine der vielen ""Tretminen"" trifft,"	muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen. Höhere Geldstrafen
micro_b002	a5	519	true	true	0.98351514	0.96407515	von den wenigen Ordnungsbeamten erwischt werden, aber wenn sie dann die Brieftasche zücken müssen,	wird ihnen die Faulheit schon vergehen!
micro_b003	a5	388	true	true	0.97712839	0.97551483	g ihrer Beschwerden nach derartigen Behandlungen. Solange aber nicht klar ist, wieso es dazu kommt,	sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss.
micro_b003	a5	447	false	true	0.38526312	0.55573618	ber nicht klar ist, wieso es dazu kommt, sollte das Geld besser für Behandlungen ausgegeben werden,	bei denen man es mit Sicherheit weiss.
micro_b007	a2	172	true	true	0.60868305	0.62126732	tete, Aufmerksamkeit auf dem Weg zur Arbeit. Dadurch entsteht eine Unachtsamkeit im Straßenverkehr,	die vergleichbar mit einem Delikt der StVo ist. Deshalb sollte die Verursachung eines solchen Hinder
micro_b008	a1	33	true	true	0.91521138	0.81673551	Natürlich wäre es schön einfach,	"wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch """
micro_b008	a1	163	true	true	0.96655178	0.89795011	"lichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss"	und dann beruhigt sein kann. Doch so einfach ist es nicht. Vielleicht ist in dieser Nacht schon ein
micro_b011	a3	182	true	true	0.78487897	0.92888045	twas mehr zur Kasse bitten. Die Tiere an sich können zwar nichts dafür, aber einmal hineingetreten,	scheinen ihre Exkremente überaus hartnäckig an den Schuhsohlen zu haften.
micro_b012	a3	300	true	true	0.52782643	0.56620091	"hon so, dass die Schüler auch vermeintlich ""Uniform-freier"" Schulen im Prinzip eine Uniform tragen,"	die aus bestimmten Markenklamotten besteht. Ein einfach gestaltetes, praktisches Outfit würde das vi
micro_b012	a4	440	true	true	0.98969650	0.96911150	ht. Ein einfach gestaltetes, praktisches Outfit würde das visuelle Gesamtbild der Schule beruhigen,	und den Fokus auf Charakter und Leistungen der Schüler - und nicht ihre Kaufkraft - lenken.
micro_b013	a4	453	true	false	0.71846986	0.36190704	. Ausserdem bieten viele niedergelassene Ärzte derlei Beratungen und Leistungen sowieso parallel an	- und wer wird deren breitere Expertise in Frage stellen wollen?
micro_b014	a1	57	true	true	0.57032579	0.62898749	Eigentlich sollten nur die einen Rundfunkbeitrag zahlen,	die auch wirklich ARD, ZDF, Arte usw. gucken. Es ist ja an und für sich gut, ein anspruchsvolleres P
micro_b014	a4	315	true	true	0.99980479	0.99869066	es jedoch trotzdem Werbung und Produktplatzierung auf den Öffentlichen. Wofür zahlt man dann noch?	Dass immer die gleichen Schauspieltruppen sich einen Lenz an exotischen Drehorten machen? Auch die D
micro_b015	a3	213	true	true	0.98883909	0.96719980	n auch Leute am Wochenende in den Läden arbeiten, aber die haben dann eben innerhalb der Woche frei	und können in Ruhe Termine wahrnehmen, während ich im Büro sitze. Ausserdem will doch der Staat, das
micro_b015	a3	252	true	true	0.96128553	0.89220876	arbeiten, aber die haben dann eben innerhalb der Woche frei und können in Ruhe Termine wahrnehmen,	während ich im Büro sitze. Ausserdem will doch der Staat, dass ich mein Geld ausgebe, und wie soll i
micro_b015	a5	368	true	true	0.98910964	0.98609412	üro sitze. Ausserdem will doch der Staat, dass ich mein Geld ausgebe, und wie soll ich dass machen,	wenn die Geschäfte nicht offen sind, wenn ich frei habe?
micro_b015	a5	405	true	true	0.97693324	0.98617607	aat, dass ich mein Geld ausgebe, und wie soll ich dass machen, wenn die Geschäfte nicht offen sind,	wenn ich frei habe?
