doc_id	model_token_index	char_offset	char_end	token_text	boundary_probability	predicted_boundary	gold_adu_start
micro_b001	1	0	2	▁Ja	0.99970597	true	true
micro_b001	3	4	10	▁seinen	0.00525561	false	false
micro_b001	4	11	13	▁Mü	0.00011950	false	false
micro_b001	6	16	21	▁immer	0.00200689	false	false
micro_b001	7	22	32	▁ordentlich	0.00033925	false	false
micro_b001	8	33	35	▁zu	0.00194255	false	false
micro_b001	9	36	40	▁tren	0.00154695	false	false
micro_b001	11	44	47	▁ist	0.00482968	false	false
micro_b001	12	48	52	▁nerv	0.00267006	false	false
micro_b001	14	55	58	▁und	0.04392024	false	false
micro_b001	15	59	61	▁mü	0.00141494	false	false
micro_b001	20	69	73	▁Drei	0.99889719	true	true
micro_b001	21	74	86	▁verschiedene	0.00006125	false	false
micro_b001	22	87	89	▁Mü	0.00013816	false	false
micro_b001	27	98	100	▁mü	0.01398507	false	false
micro_b001	30	106	108	▁in	0.00022831	false	false
micro_b001	31	109	112	▁der	0.00015819	false	false
micro_b001	32	113	118	▁Küche	0.00021370	false	false
micro_b001	33	119	122	▁und	0.97029042	true	false
micro_b001	34	123	129	▁müssen	0.02167384	false	false
micro_b001	35	130	132	▁in	0.00074780	false	false
micro_b001	36	133	137	▁drei	0.00055713	false	false
micro_b001	37	138	153	▁unterschiedlich	0.00007205	false	false
micro_b001	39	155	157	▁To	0.00027435	false	false
micro_b001	41	162	165	▁ein	0.00031966	false	false
micro_b001	44	174	180	▁werden	0.00042151	false	false
micro_b001	46	182	186	▁Aber	0.99977690	true	true
micro_b001	47	187	192	▁immer	0.00028100	false	false
micro_b001	48	193	197	▁noch	0.00009120	false	false
micro_b001	49	198	202	▁wird	0.00044699	false	false
micro_b001	50	203	205	▁in	0.00026349	false	false
micro_b001	51	206	217	▁Deutschland	0.00007627	false	false
micro_b001	52	218	222	▁viel	0.00037225	false	false
micro_b001	53	223	225	▁zu	0.00018818	false	false
micro_b001	54	226	230	▁viel	0.00008231	false	false
micro_b001	55	231	233	▁Mü	0.00019084	false	false
micro_b001	57	236	246	▁produziert	0.00008007	false	false
micro_b001	58	247	250	▁und	0.92995757	true	true
micro_b001	59	251	253	▁zu	0.09429201	false	false
micro_b001	60	254	259	▁viele	0.00019369	false	false
micro_b001	61	260	270	▁Ressourcen	0.00026591	false	false
micro_b001	62	271	276	▁gehen	0.00158168	false	false
micro_b001	63	277	285	▁verloren	0.00145665	false	false
micro_b001	65	287	291	▁wenn	0.98697335	true	false
micro_b001	66	292	300	▁zusammen	0.00370472	false	false
micro_b001	67	301	304	▁ver	0.00012674	false	false
micro_b001	70	311	315	▁wird	0.00077203	false	false
micro_b001	72	317	320	▁was	0.20534825	false	false
micro_b001	73	321	329	▁getrennt	0.00439846	false	false
micro_b001	74	330	340	▁eigentlich	0.00214097	false	false
micro_b001	75	341	344	▁ver	0.00082972	false	false
micro_b001	78	351	357	▁werden	0.00050101	false	false
micro_b001	79	358	364	▁könnte	0.00301004	false	false
micro_b001	81	366	369	▁Wir	0.99984884	true	true
micro_b001	82	370	378	▁Berliner	0.00012377	false	false
micro_b001	83	379	386	▁sollten	0.00580100	false	false
micro_b001	84	387	390	▁die	0.00068223	false	false
micro_b001	85	391	397	▁Chance	0.00009793	false	false
micro_b001	86	398	404	▁nutzen	0.00006682	false	false
micro_b001	87	405	408	▁und	0.80905414	true	false
micro_b001	88	409	412	▁Vor	0.00166625	false	false
micro_b001	91	419	421	▁im	0.00030948	false	false
micro_b001	92	422	424	▁Mü	0.00007531	false	false
micro_b001	96	434	440	▁werden	0.00107926	false	false
micro_b002	1	0	2	▁In	0.99968505	true	true
micro_b002	2	3	12	▁Friedrich	0.00032806	false	false
micro_b002	5	18	22	▁oder	0.00085375	false	false
micro_b002	6	23	26	▁Neu	0.00008118	false	false
micro_b002	10	32	36	▁kann	0.01905550	false	false
micro_b002	11	37	40	▁man	0.00121088	false	false
micro_b002	12	41	45	▁sich	0.00044649	false	false
micro_b002	13	46	49	▁heu	0.00050165	false	false
micro_b002	16	57	62	▁nicht	0.00036722	false	false
micro_b002	17	63	67	▁mehr	0.00031570	false	false
micro_b002	18	68	75	▁bewegen	0.00036542	false	false
micro_b002	20	77	81	▁ohne	0.97196239	true	false
micro_b002	21	82	91	▁permanent	0.00035396	false	false
micro_b002	22	92	95	▁den	0.00009830	false	false
micro_b002	23	96	101	▁Boden	0.00014932	false	false
micro_b002	24	102	106	▁nach	0.00055733	false	false
micro_b002	25	107	112	▁Hunde	0.00009103	false	false
micro_b002	28	119	123	▁abzu	0.00009627	false	false
micro_b002	31	131	134	▁Und	0.99982810	true	true
micro_b002	32	135	139	▁wenn	0.06586553	false	false
micro_b002	33	140	143	▁man	0.00040815	false	false
micro_b002	34	144	148	▁doch	0.00134463	false	false
micro_b002	35	149	152	▁mal	0.00059333	false	false
micro_b002	36	153	155	▁Pe	0.00028138	false	false
micro_b002	38	158	161	▁hat	0.00009425	false	false
micro_b002	39	162	165	▁und	0.98611569	true	false
micro_b002	40	166	170	▁eine	0.00073286	false	false
micro_b002	41	171	174	▁der	0.00003747	false	false
micro_b002	42	175	181	▁vielen	0.00008096	false	false
micro_b002	43	182	183	"▁"""	0.00076722	false	false
micro_b002	48	194	200	▁trifft	0.00039671	false	false
micro_b002	50	202	206	▁muss	0.99486333	true	false
micro_b002	51	207	210	▁man	0.00561299	false	false
micro_b002	52	211	215	▁sich	0.00079599	false	false
micro_b002	53	216	219	▁die	0.00006838	false	false
micro_b002	54	220	221	▁	0.00004975	false	false
micro_b002	55	220	224	stin	0.00035722	false	false
micro_b002	58	231	237	▁Hinter	0.00004449	false	false
micro_b002	61	252	254	▁mü	0.00398855	false	false
micro_b002	65	261	264	▁von	0.00086684	false	false
micro_b002	66	265	268	▁der	0.00006608	false	false
micro_b002	67	269	271	▁So	0.00008658	false	false
micro_b002	69	275	278	▁kra	0.00026086	false	false
micro_b002	72	284	288	▁Höhe	0.99959463	true	true
micro_b002	74	291	295	▁Geld	0.00013213	false	false
micro_b002	77	303	307	▁sind	0.00164914	false	false
micro_b002	78	308	310	▁da	0.00063551	false	false
micro_b002	79	311	314	▁das	0.00027660	false	false
micro_b002	80	315	323	▁richtige	0.00006345	false	false
micro_b002	81	324	330	▁Mittel	0.00007514	false	false
micro_b002	82	331	336	▁gegen	0.00309073	false	false
micro_b002	83	337	341	▁nach	0.00051537	false	false
micro_b002	87	350	352	▁fa	0.00034058	false	false
micro_b002	89	356	360	▁oder	0.00398179	false	false
micro_b002	90	361	368	▁einfach	0.00161532	false	false
micro_b002	91	369	371	▁ge	0.00007758	false	false
micro_b002	95	382	387	▁Hunde	0.00009912	false	false
micro_b002	98	395	399	▁Klar	0.99975616	true	true
micro_b002	100	401	404	▁die	0.02981864	false	false
micro_b002	101	405	411	▁müssen	0.00129835	false	false
micro_b002	102	412	419	▁erstmal	0.00064544	false	false
micro_b002	103	420	423	▁von	0.00142000	false	false
micro_b002	104	424	427	▁den	0.00006409	false	false
micro_b002	105	428	435	▁wenigen	0.00005613	false	false
micro_b002	106	436	443	▁Ordnung	0.00005497	false	false
micro_b002	111	452	454	▁er	0.00028617	false	false
micro_b002	114	461	467	▁werden	0.00011535	false	false
micro_b002	116	469	473	▁aber	0.99871314	true	true
micro_b002	117	474	478	▁wenn	0.13348210	false	false
micro_b002	118	479	482	▁sie	0.00017506	false	false
micro_b002	119	483	487	▁dann	0.00156955	false	false
micro_b002	120	488	491	▁die	0.00012281	false	false
micro_b002	121	492	497	▁Brief	0.00008445	false	false
micro_b002	124	504	505	▁z	0.00008776	false	false
micro_b002	126	511	517	▁müssen	0.00039517	false	false
micro_b002	128	519	523	▁wird	0.98351514	true	false
micro_b002	129	524	529	▁ihnen	0.00157053	false	false
micro_b002	130	530	533	▁die	0.00047938	false	false
micro_b002	131	534	536	▁Fa	0.00009706	false	false
micro_b002	134	543	548	▁schon	0.00312944	false	false
micro_b002	135	549	552	▁ver	0.00069984	false	false
micro_b003	1	0	3	▁Die	0.99980062	true	true
