doc_id	language	char_offset	token_index	adu_id	edu_id	boundary_class	source	status	confidence	model	run_id	sameunit_affected
micro_b001	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b001	de	69		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b001	de	119		a2	e3	internal_edu	eduseg_de	automatic	0.92958826	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b001	de	182		a3	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b001	de	247		a4	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b001	de	287		a4	e6	internal_edu	eduseg_de	automatic	0.98597914	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b001	de	366		a5	e7	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b001	de	405		a5	e8	internal_edu	eduseg_de	automatic	0.72517782	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b002	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b002	de	77		a1	e2	internal_edu	eduseg_de	automatic	0.92033988	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b002	de	131		a2	e3	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b002	de	162		a2	e4	internal_edu	eduseg_de	automatic	0.97143078	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b002	de	202		a2	e5	internal_edu	eduseg_de	automatic	0.99435931	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b002	de	284		a3	e6	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b002	de	395		a4	e7	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b002	de	469		a5	e8	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b002	de	519		a5	e9	internal_edu	eduseg_de	automatic	0.96407515	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b003	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b003	de	84		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b003	de	180		a3	e3	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b003	de	238		a4	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b003	de	338		a5	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b003	de	388		a5	e6	internal_edu	eduseg_de	automatic	0.97551483	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b003	de	447		a5	e7	internal_edu	eduseg_de	automatic	0.55573618	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b004	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b004	de	108		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b004	de	226		a3	e3	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b004	de	328		a4	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b004	de	381		a5	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b005	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b005	de	77		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b005	de	146		a3	e3	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b005	de	224		a4	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b005	de	299		a5	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b006	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b006	de	94		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b006	de	172		a3	e3	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b006	de	293		a4	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b006	de	409		a5	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b007	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b007	de	117		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b007	de	172		a2	e3	internal_edu	eduseg_de	automatic	0.62126732	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b007	de	220		a3	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b007	de	304		a4	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b007	de	410		a5	e6	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b008	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b008	de	33		a1	e2	internal_edu	eduseg_de	automatic	0.81673551	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b008	de	163		a1	e3	internal_edu	eduseg_de	automatic	0.89795011	eduseg_de@eduseg_de-v1.0	eduseg_de_adu_context_v1	false
micro_b008	de	192		a2	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b008	de	222		a3	e5	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b008	de	287		a4	e6	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b008	de	325		a5	e7	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b009	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b009	de	148		a2	e2	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b009	de	233		a3	e3	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b009	de	350		a4	e4	adu	structural_constraint	forced			eduseg_de_adu_context_v1	false
micro_b010	de	0		a1	e1	document_start	structural_constraint	forced			eduseg_de_adu_context_v1	false
