doc_id	adu_id	adu_token_index	char_offset	char_end	token_text	boundary_probability	predicted_boundary
micro_b001	a1	1	0	2	▁Ja	0.99833530	true
micro_b001	a1	3	4	10	▁seinen	0.00269597	false
micro_b001	a1	4	11	13	▁Mü	0.00043338	false
micro_b001	a1	6	16	21	▁immer	0.00282215	false
micro_b001	a1	7	22	32	▁ordentlich	0.00109980	false
micro_b001	a1	8	33	35	▁zu	0.00106375	false
micro_b001	a1	9	36	40	▁tren	0.00345825	false
micro_b001	a1	11	44	47	▁ist	0.00807999	false
micro_b001	a1	12	48	52	▁nerv	0.00311894	false
micro_b001	a1	14	55	58	▁und	0.02251515	false
micro_b001	a1	15	59	61	▁mü	0.00468055	false
micro_b001	a2	1	69	73	▁Drei	0.99924999	true
micro_b001	a2	2	74	86	▁verschiedene	0.00009512	false
micro_b001	a2	3	87	89	▁Mü	0.00083672	false
micro_b001	a2	8	98	100	▁mü	0.01054095	false
micro_b001	a2	11	106	108	▁in	0.00226681	false
micro_b001	a2	12	109	112	▁der	0.00200100	false
micro_b001	a2	13	113	118	▁Küche	0.00036323	false
micro_b001	a2	14	119	122	▁und	0.92958826	true
micro_b001	a2	15	123	129	▁müssen	0.02990317	false
micro_b001	a2	16	130	132	▁in	0.00285435	false
micro_b001	a2	17	133	137	▁drei	0.00071932	false
micro_b001	a2	18	138	153	▁unterschiedlich	0.00011300	false
micro_b001	a2	20	155	157	▁To	0.00115356	false
micro_b001	a2	22	162	165	▁ein	0.00204667	false
micro_b001	a2	25	174	180	▁werden	0.00224436	false
micro_b001	a3	1	182	186	▁Aber	0.99537033	true
micro_b001	a3	2	187	192	▁immer	0.00122826	false
micro_b001	a3	3	193	197	▁noch	0.00034064	false
micro_b001	a3	4	198	202	▁wird	0.00627536	false
micro_b001	a3	5	203	205	▁in	0.00535357	false
micro_b001	a3	6	206	217	▁Deutschland	0.00162253	false
micro_b001	a3	7	218	222	▁viel	0.00328643	false
micro_b001	a3	8	223	225	▁zu	0.00079108	false
micro_b001	a3	9	226	230	▁viel	0.00017022	false
micro_b001	a3	10	231	233	▁Mü	0.00051766	false
micro_b001	a3	12	236	246	▁produziert	0.00099738	false
micro_b001	a4	1	247	250	▁und	0.91470242	true
micro_b001	a4	2	251	253	▁zu	0.05341688	false
micro_b001	a4	3	254	259	▁viele	0.00021664	false
micro_b001	a4	4	260	270	▁Ressourcen	0.00063584	false
micro_b001	a4	5	271	276	▁gehen	0.00680457	false
micro_b001	a4	6	277	285	▁verloren	0.00486970	false
micro_b001	a4	8	287	291	▁wenn	0.98597914	true
micro_b001	a4	9	292	300	▁zusammen	0.01304984	false
micro_b001	a4	10	301	304	▁ver	0.00085279	false
micro_b001	a4	13	311	315	▁wird	0.00426683	false
micro_b001	a4	15	317	320	▁was	0.36040187	false
micro_b001	a4	16	321	329	▁getrennt	0.01156135	false
micro_b001	a4	17	330	340	▁eigentlich	0.00719558	false
micro_b001	a4	18	341	344	▁ver	0.00318252	false
micro_b001	a4	21	351	357	▁werden	0.00224863	false
micro_b001	a4	22	358	364	▁könnte	0.01172755	false
micro_b001	a5	1	366	369	▁Wir	0.97673881	true
micro_b001	a5	2	370	378	▁Berliner	0.00094699	false
micro_b001	a5	3	379	386	▁sollten	0.02128893	false
micro_b001	a5	4	387	390	▁die	0.01971925	false
micro_b001	a5	5	391	397	▁Chance	0.00031657	false
micro_b001	a5	6	398	404	▁nutzen	0.00020529	false
micro_b001	a5	7	405	408	▁und	0.72517782	true
micro_b001	a5	8	409	412	▁Vor	0.02457811	false
micro_b001	a5	11	419	421	▁im	0.00504900	false
micro_b001	a5	12	422	424	▁Mü	0.00032402	false
micro_b001	a5	16	434	440	▁werden	0.00254841	false
micro_b002	a1	1	0	2	▁In	0.99980921	true
micro_b002	a1	2	3	12	▁Friedrich	0.00057886	false
micro_b002	a1	5	18	22	▁oder	0.00081413	false
micro_b002	a1	6	23	26	▁Neu	0.00008408	false
micro_b002	a1	10	32	36	▁kann	0.01892366	false
micro_b002	a1	11	37	40	▁man	0.00110612	false
micro_b002	a1	12	41	45	▁sich	0.00041718	false
micro_b002	a1	13	46	49	▁heu	0.00035507	false
micro_b002	a1	16	57	62	▁nicht	0.00050932	false
micro_b002	a1	17	63	67	▁mehr	0.00043455	false
micro_b002	a1	18	68	75	▁bewegen	0.00053203	false
micro_b002	a1	20	77	81	▁ohne	0.92033988	true
micro_b002	a1	21	82	91	▁permanent	0.00034531	false
micro_b002	a1	22	92	95	▁den	0.00016822	false
micro_b002	a1	23	96	101	▁Boden	0.00011417	false
micro_b002	a1	24	102	106	▁nach	0.00071569	false
micro_b002	a1	25	107	112	▁Hunde	0.00010651	false
micro_b002	a1	28	119	123	▁abzu	0.00020573	false
micro_b002	a2	1	131	134	▁Und	0.99990582	true
micro_b002	a2	2	135	139	▁wenn	0.09121584	false
micro_b002	a2	3	140	143	▁man	0.00251365	false
micro_b002	a2	4	144	148	▁doch	0.00457194	false
micro_b002	a2	5	149	152	▁mal	0.00334724	false
micro_b002	a2	6	153	155	▁Pe	0.00117301	false
micro_b002	a2	8	158	161	▁hat	0.00029851	false
micro_b002	a2	9	162	165	▁und	0.97143078	true
micro_b002	a2	10	166	170	▁eine	0.00438852	false
micro_b002	a2	11	171	174	▁der	0.00010966	false
micro_b002	a2	12	175	181	▁vielen	0.00004791	false
micro_b002	a2	13	182	183	"▁"""	0.00217360	false
micro_b002	a2	18	194	200	▁trifft	0.00124009	false
micro_b002	a2	20	202	206	▁muss	0.99435931	true
micro_b002	a2	21	207	210	▁man	0.01810846	false
micro_b002	a2	22	211	215	▁sich	0.00119932	false
micro_b002	a2	23	216	219	▁die	0.00014713	false
micro_b002	a2	24	220	221	▁	0.00004613	false
micro_b002	a2	25	220	224	stin	0.00080736	false
micro_b002	a2	28	231	237	▁Hinter	0.00006470	false
micro_b002	a2	31	252	254	▁mü	0.00967866	false
micro_b002	a2	35	261	264	▁von	0.00201043	false
micro_b002	a2	36	265	268	▁der	0.00034045	false
micro_b002	a2	37	269	271	▁So	0.00013447	false
micro_b002	a2	39	275	278	▁kra	0.00068204	false
micro_b002	a3	1	284	288	▁Höhe	0.99808395	true
micro_b002	a3	3	291	295	▁Geld	0.00027101	false
micro_b002	a3	6	303	307	▁sind	0.00861928	false
micro_b002	a3	7	308	310	▁da	0.00724392	false
micro_b002	a3	8	311	314	▁das	0.00268276	false
micro_b002	a3	9	315	323	▁richtige	0.00014907	false
micro_b002	a3	10	324	330	▁Mittel	0.00017951	false
micro_b002	a3	11	331	336	▁gegen	0.00563434	false
micro_b002	a3	12	337	341	▁nach	0.00097688	false
micro_b002	a3	16	350	352	▁fa	0.00250629	false
micro_b002	a3	18	356	360	▁oder	0.01365220	false
micro_b002	a3	19	361	368	▁einfach	0.00430817	false
micro_b002	a3	20	369	371	▁ge	0.00028820	false
micro_b002	a3	24	382	387	▁Hunde	0.00062623	false
micro_b002	a4	1	395	399	▁Klar	0.91720033	true
micro_b002	a4	3	401	404	▁die	0.34672490	false
micro_b002	a4	4	405	411	▁müssen	0.00542374	false
micro_b002	a4	5	412	419	▁erstmal	0.00419673	false
micro_b002	a4	6	420	423	▁von	0.00370815	false
micro_b002	a4	7	424	427	▁den	0.00014586	false
micro_b002	a4	8	428	435	▁wenigen	0.00005263	false
micro_b002	a4	9	436	443	▁Ordnung	0.00027089	false
micro_b002	a4	14	452	454	▁er	0.00093094	false
micro_b002	a4	17	461	467	▁werden	0.00024683	false
micro_b002	a5	1	469	473	▁aber	0.95525563	true
micro_b002	a5	2	474	478	▁wenn	0.17219268	false
micro_b002	a5	3	479	482	▁sie	0.00067821	false
micro_b002	a5	4	483	487	▁dann	0.00328527	false
micro_b002	a5	5	488	491	▁die	0.00135791	false
micro_b002	a5	6	492	497	▁Brief	0.00039395	false
micro_b002	a5	9	504	505	▁z	0.00046691	false
micro_b002	a5	11	511	517	▁müssen	0.00220543	false
micro_b002	a5	13	519	523	▁wird	0.96407515	true
micro_b002	a5	14	524	529	▁ihnen	0.00548489	false
micro_b002	a5	15	530	533	▁die	0.00181315	false
micro_b002	a5	16	534	536	▁Fa	0.00056696	false
micro_b002	a5	19	543	548	▁schon	0.00411193	false
micro_b002	a5	20	549	552	▁ver	0.00226938	false
micro_b003	a1	1	0	3	▁Die	0.93223226	true
micro_b003	a1	2	4	16	▁Krankenkasse	0.00508181	false
