doc_id	adu_id	char_offset	eduseg_de_predicted	secorel_predicted	eduseg_de_probability	secorel_probability	left_context	right_context
micro_b001	a2	119	true	true	0.97029042	0.99290961	er ordentlich zu trennen ist nervig und mühselig. Drei verschiedene Müllbeutel müffeln in der Küche	und müssen in drei unterschiedliche Tonnen einsortiert werden. Aber immer noch wird in Deutschland v
micro_b001	a4	287	true	true	0.98697335	0.98877269	immer noch wird in Deutschland viel zu viel Müll produziert und zu viele Ressourcen gehen verloren,	wenn zusammen verbrannt wird, was getrennt eigentlich verwertet werden könnte. Wir Berliner sollten
micro_b001	a5	405	true	true	0.80905414	0.96277404	rannt wird, was getrennt eigentlich verwertet werden könnte. Wir Berliner sollten die Chance nutzen	und Vorreiter im Mülltrennen werden!
micro_b002	a1	77	true	true	0.97196239	0.96631014	In Friedrichshain oder Neukölln kann man sich heutzutage nicht mehr bewegen,	ohne permanent den Boden nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat und eine der vi
micro_b002	a2	162	true	true	0.98611569	0.98026776	mehr bewegen, ohne permanent den Boden nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat	"und eine der vielen ""Tretminen"" trifft, muss man sich die stinkenden Hinterlassenschaften mühselig v"
micro_b002	a2	202	true	true	0.99486333	0.99348289	"nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat und eine der vielen ""Tretminen"" trifft,"	muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen. Höhere Geldstrafen
micro_b002	a5	519	true	true	0.98351514	0.98992634	von den wenigen Ordnungsbeamten erwischt werden, aber wenn sie dann die Brieftasche zücken müssen,	wird ihnen die Faulheit schon vergehen!
micro_b003	a5	388	true	true	0.97712839	0.99458802	g ihrer Beschwerden nach derartigen Behandlungen. Solange aber nicht klar ist, wieso es dazu kommt,	sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss.
micro_b003	a5	447	false	true	0.38526312	0.82007885	ber nicht klar ist, wieso es dazu kommt, sollte das Geld besser für Behandlungen ausgegeben werden,	bei denen man es mit Sicherheit weiss.
micro_b006	a4	326	false	true	0.44502795	0.87737226	nehmen, über den Tod eines anderen Menschen entscheiden zu dürfen. Auch wenn viele Menschen denken,	dass ein Mörder bereits über Leben und Tod eines anderen Menschen entschieden hat, ist dies ja die S
micro_b007	a2	172	true	true	0.60868305	0.69296169	tete, Aufmerksamkeit auf dem Weg zur Arbeit. Dadurch entsteht eine Unachtsamkeit im Straßenverkehr,	die vergleichbar mit einem Delikt der StVo ist. Deshalb sollte die Verursachung eines solchen Hinder
micro_b007	a4	330	false	true	0.45560375	0.55837679	llte die Verursachung eines solchen Hindernisses stärker geahndet werden. Hundehalter mögen denken,	dass ein Hundehaufen nur ein harmlose Sekret eines Tieres wie jedes andere ist. Doch dann verkennen
micro_b008	a1	33	true	true	0.91521138	0.95070332	Natürlich wäre es schön einfach,	"wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch """
micro_b008	a1	163	true	true	0.96655178	0.98962003	"lichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss"	und dann beruhigt sein kann. Doch so einfach ist es nicht. Vielleicht ist in dieser Nacht schon ein
micro_b009	a1	115	false	true	0.44818911	0.62428725	tzutage bei einem Neueinzug einen viel höheren Preis als der Vormieter zahlen müssen, ist ungerecht	und nicht mehr zu rechtfertigen. Sicherlich muss der Vermieter einige Instandsetzungs-Maßnahmen vor
micro_b011	a3	182	true	false	0.78487897	0.22625417	twas mehr zur Kasse bitten. Die Tiere an sich können zwar nichts dafür, aber einmal hineingetreten,	scheinen ihre Exkremente überaus hartnäckig an den Schuhsohlen zu haften.
micro_b012	a3	300	true	false	0.52782643	0.26034650	"hon so, dass die Schüler auch vermeintlich ""Uniform-freier"" Schulen im Prinzip eine Uniform tragen,"	die aus bestimmten Markenklamotten besteht. Ein einfach gestaltetes, praktisches Outfit würde das vi
micro_b012	a4	440	true	true	0.98969650	0.98710632	ht. Ein einfach gestaltetes, praktisches Outfit würde das visuelle Gesamtbild der Schule beruhigen,	und den Fokus auf Charakter und Leistungen der Schüler - und nicht ihre Kaufkraft - lenken.
micro_b013	a4	453	true	true	0.71846986	0.91846144	. Ausserdem bieten viele niedergelassene Ärzte derlei Beratungen und Leistungen sowieso parallel an	- und wer wird deren breitere Expertise in Frage stellen wollen?
micro_b014	a1	57	true	true	0.57032579	0.51097172	Eigentlich sollten nur die einen Rundfunkbeitrag zahlen,	die auch wirklich ARD, ZDF, Arte usw. gucken. Es ist ja an und für sich gut, ein anspruchsvolleres P
micro_b014	a4	315	true	true	0.99980479	0.98602170	es jedoch trotzdem Werbung und Produktplatzierung auf den Öffentlichen. Wofür zahlt man dann noch?	Dass immer die gleichen Schauspieltruppen sich einen Lenz an exotischen Drehorten machen? Auch die D
micro_b015	a3	213	true	true	0.98883909	0.98949617	n auch Leute am Wochenende in den Läden arbeiten, aber die haben dann eben innerhalb der Woche frei	und können in Ruhe Termine wahrnehmen, während ich im Büro sitze. Ausserdem will doch der Staat, das
micro_b015	a3	252	true	true	0.96128553	0.97816306	arbeiten, aber die haben dann eben innerhalb der Woche frei und können in Ruhe Termine wahrnehmen,	während ich im Büro sitze. Ausserdem will doch der Staat, dass ich mein Geld ausgebe, und wie soll i
micro_b015	a5	368	true	true	0.98910964	0.98754209	üro sitze. Ausserdem will doch der Staat, dass ich mein Geld ausgebe, und wie soll ich dass machen,	wenn die Geschäfte nicht offen sind, wenn ich frei habe?
micro_b015	a5	405	true	true	0.97693324	0.98582768	aat, dass ich mein Geld ausgebe, und wie soll ich dass machen, wenn die Geschäfte nicht offen sind,	wenn ich frei habe?
micro_b016	a1	101	true	true	0.99690324	0.99270684	ie Idee des Bachelorstudiums ist, die Gesamtnote aus zahlreichen Einzelleistungen zusammenzusetzen,	um die Endnote zu generieren. Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung ni
micro_b016	a2	183	true	true	0.76728481	0.96039921	zusammenzusetzen, um die Endnote zu generieren. Dies entspricht auch eher der späteren Arbeitswelt,	in der Leistung nicht singulär, sondern regelmäßig und über längere Zeit hinweg erbracht werden soll
micro_b016	a2	215	true	false	0.95563716	0.42600557	zu generieren. Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung nicht singulär,	sondern regelmäßig und über längere Zeit hinweg erbracht werden soll. Daher macht es Sinn, dass die
micro_b017	a4	296	true	true	0.92813343	0.95956838	ie höheren Mieten zu zahlen, aber dass Menschen mit gleichem Einkommen plötzlich mehr zahlen sollen	und nicht mehr in der selben Wohnung leben dürfen, scheint unplausibel. Die Gentrifizierung zerstört
micro_b019	a2	109	true	true	0.90309358	0.94102442	strebenswert, dass niemand sein Vermögen am Fiskus vorbeischleust. Wer dies doch tut oder versucht,	sollte nach Möglichkeit zur Rechenschaft gezogen werden. Andererseits werden aus staatlichen Mitteln
micro_b024	a3	245	true	true	0.99191189	0.96615767	app. Zudem ist ein hoher Luxusgrad (teure Wohnungen) für die Mehrheit der Menschen nicht notwendig,	sondern vielmehr eine Wohnung überhaupt. Außerdem muss jeder in seinem Leben ca. 3-10 Mal umziehen,
micro_b029	a2	113	false	true	0.37316242	0.79850531	eitrag kann nur von allen Bürgern/Haushalten gleichermaßen eingefordert werden. Kritiker führen an,	dass sie das Angebot der Öffentlich Rechtlichen Sender gar nicht nutzen würden. Ich bezweifle zwar,
micro_b029	a4	382	true	true	0.96622002	0.97478628	ch Rechtlichen Sender zumindest indirekt nutzt. Es ist jedoch nicht möglich, dies zu kontrollieren,	um differenzierte Gebühren zu erheben. Ebenso, wie andere Angebote der Kultur oder Infrastruktur, si
micro_b029	a5	480	true	false	0.66175014	0.03467795	, um differenzierte Gebühren zu erheben. Ebenso, wie andere Angebote der Kultur oder Infrastruktur,	sind auch die Öffentlich Rechtlichen Sender unabhängig davon zu finanzieren, ob der Einzelne dieses
micro_b031	a4	296	true	true	0.85261303	0.98689204	eren von einer Untat abhalten. Jedem muss die Gelegenheit gegeben werden, sein Gewissen zu schärfen	und seine Tat möglichst wieder gutzumachen.
